ABCP11;Grand Plaza Shopping;70,68-0,62%;38058;18,5;Shopping/Varejo;RIO BRAVO;
;;44749,43819;;;;;
AFHI11;AF Invest CRI;99,26+0,01%;44291;100;Recebíveis Imobiliários;BTG PACTUAL;
;;44749,43958;;;;;
AFOF11;Alianza FOF;89,00+0,01%;44278;100;Fundo de Fundos;BRL TRUST;
;;44749,42014;;;;;
AIEC11;Autonomy Edifícios Corporativos;73,85+0,01%;44076;100;Lajes Comerciais;MAF;
;;44749,4375;;;;;
ALMI11;Torre Almirante;895,00-0,5%;38504;1000;Lajes Comerciais;BTG PACTUAL;
;;44749,42847;;;;;
ALZC11;Alianza Crédito Imobiliário;N/D;N/D;0;N/D;BTG PACTUAL;
ALZR11;Alianza Trust Renda Imobiliária;116,95+0,13%;43104;100;Híbrido;N/D;
;;44749,44028;;;;;
ANCR11B;Ancar IC;3.500,00+5,63%;39309;600;Shopping/Varejo;GENIAL INVESTIMENTOS;
;;44578,21186;;;;;
APTO11;Navi Residencial;10,00+1,83%;N/D;10;N/D;BRL TRUST;
;;44749,43958;;;;;
AQLL11;Áquilla;N/D;41080;1000;Incorporação;ÍNDIGO INVESTIMENTOS;
ARCT11;Riza Arctium Real Estate;107,45-0,02%;43717;100;Logisticos;BTG PACTUAL;
;;44749,43958;;;;;
ARFI11B;AQ3 Renda;N/D;41334;1000;Recebíveis Imobiliários;ÍNDIGO INVESTIMENTOS;
ARRI11;Átrio Reit Recebíveis Imobiliários;94,63+0,01%;43769;100;Recebíveis Imobiliários;OLIVEIRA TRUST;
;;44749,43889;;;;;
ATCR11;HAZ FII;N/D;41535;100;Hoteis;RJI;
ATSA11;Hedge Atrium Shopping Santo André;87,75-0,28%;40525;1000;Shopping/Varejo;HEDGE INVESTMENTS;
;;44748,69444;;;;;
ATWN11;Airport Town;N/D;N/D;100;Incorporação;REAG;
AURB11;Alianza Urban Hub Renda;N/D;N/D;0;N/D;BTG PACTUAL;
BARI11;Barigui Rendimentos;100,06-0,13%;43637;100;Recebíveis Imobiliários;OLIVEIRA TRUST;
;;44749,44028;;;;;
BBFI11B;BB Progressivo;1.737,00-1,75%;38322;1000;Agencias Bancárias;BTG PACTUAL;
;;44749,41944;;;;;
BBFO11;BB Fundo de Fundos;70,22-0,03%;44193;100;Fundo de Fundos;BB GESTAO DE RECURSOS;
;;44749,44028;;;;;
BBGO11;BB Crédito Fiagro;85,00-1,16%;44593;100;Agronegócio;BB GESTAO DE RECURSOS;
;;44749,43472;;;;;
BBIM11;BB Recebíveis Imobiliários;N/D;42248;100;Recebíveis Imobiliários;BB GESTAO DE RECURSOS;
BBPO11;BB Progressivo II;78,70+0,19%;41255;100;Agencias Bancárias;VOTORANTIM ASSET;
;;44749,43958;;;;;
BBRC11;BB Renda Corporativa;98,25+0,78%;40714;100;Agencias Bancárias;BV DTVM;
;;44749,43958;;;;;
BCFF11;BTG Pactual Fundo de Fundos;63,93-0,37%;40346;100;Fundo de Fundos;BTG PACTUAL;
;;44749,44028;;;;;
BCIA11;Bradesco Carteira Imobiliária Ativa;82,00+0,07%;42149;100;Fundo de Fundos;BANCO BRADESCO;
;;44749,44028;;;;;
BCRI11;Banestes Recebíveis Imobiliários;107,30+0,03%;42186;100;Recebíveis Imobiliários;BRL TRUST;
;;44749,44028;;;;;
BDIF11;BTG Pactual Dívida FI-Infra;98,54+0,55%;44291;100;N/D;BTG PACTUAL;
;;44749,4375;;;;;
BICE11;Brio Crédito Estruturado;10;N/D;100;Recebíveis Imobiliários;BRL TRUST;
;;44592,75;;;;;
BICR11;Inter Títulos Imobiliários;99,01+0,01%;43825;100;Recebíveis Imobiliários;INTER DTVM;
;;44746,5625;;;;;
BIDB11;Inter FI-Infra;88,98+0,3%;N/D;100;N/D;INTER DTVM;
;;44749,43681;;;;;
BIME11;Brio Multiestratégia;9,36+0,11%;44501;10;N/D;BRL TRUST;
;;44749,44028;;;;;
BJRC11;JS Real Estate Recebíveis Imobiliários;N/D;41204;1000;Recebíveis Imobiliários;BANCO J. SAFRA;
BLCA11;BlueMacaw Catuaí Triple A;0,95;N/D;0;Lajes Comerciais;BTG PACTUAL;
;;44742,42917;;;;;
BLCP11;Bluecap Renda Logística;0,8579;43976;100;Logisticos;BTG PACTUAL;
;;44748,45486;;;;;
BLMC11;BlueMacaw Crédito Imobiliário;0,899;44232;100;Recebíveis Imobiliários;BTG PACTUAL;
;;44749,41667;;;;;
BLMG11;BlueMacaw Logística;78,00+0,52%;44134;100;Logisticos;VÓRTX;
;;44749,43819;;;;;
BLMO11;BlueMacaw Office Fund II;248;43924;25000;Lajes Comerciais;BRL TRUST;
;;44704,56875;;;;;
BLMR11;BlueMacaw Renda + FOF;7,04+0,25%;44056;10;Fundo de Fundos;BRL TRUST;
;;44749,43889;;;;;
BLUR11;Blue Recebíveis Imobiliários;1,0475;44643;0;Recebíveis Imobiliários;BANCO DAYCOVAL;
;;44747,47778;;;;;
BMII11;Brasílio Machado;N/D;40444;1;Lajes Comerciais;RIO BRAVO;
BMLC11;BM Brascan Lajes Corporativas;0,9651;40953;100;Lajes Comerciais;BTG PACTUAL;
;;44748,675;;;;;
BNFS11;Banrisul Novas Fronteiras;116,61+0,01%;41177;100;Agencias Bancárias;OLIVEIRA TRUST;
;;44749,41806;;;;;
BODB11;Bocaina FI-Infra;10,21+0,2%;44684;10,46;N/D;BTG PACTUAL;
;;44749,4375;;;;;
BPFF11;Brasil Plural Absoluto Fundo de Fundos;62,41+0,48%;41379;100;Fundo de Fundos;GENIAL INVESTIMENTOS;
;;44749,44028;;;;;
BPMA11;Brio Prime Malls;N/D;N/D;1000;Shopping/Varejo;BRL TRUST;
BPML11;BTG Pactual Shoppings;66,83+8,84%;43672;100;Shopping/Varejo;BTG PACTUAL;
;;44749,43611;;;;;
BPRP11;BRLPROP;102,00-2,84%;43705;100;Logisticos;BTG PACTUAL;
;;44746,44514;;;;;
BRCO11;Bresco Logística;98,28-0,22%;43804;100;Logisticos;OLIVEIRA TRUST;
;;44749,43958;;;;;
BRCR11;BTG Pactual Corporate Office Fund;59,50+0,3%;40513;100;Lajes Comerciais;BTG PACTUAL;
;;44749,44028;;;;;
BREV11;Brazil Real Estate Victory Fund I;96,50-0,5%;43851;100;Lajes Comerciais;BR-CAPITAL;
;;44747,68819;;;;;
BRHT11B;BR Hoteis;N/D;41477;100;Hoteis;ELITE CCVM;
BRIM11;Brio Real Estate II;10,18;44027;1000;Incorporação Residencial;BRL TRUST;
;;44746,49861;;;;;
BRIP11;Brio Real Estate III;1.212,00+21,19%;44120;1000;Incorporação Residencial;BRL TRUST;
;;44678,44861;;;;;
BRLA11;BRL Prop II;145,00+3,44%;44083;100;Logisticos;BTG PACTUAL;
;;44685,70833;;;;;
BTAL11;Btg Pactual Agro Logística;93,37+0,45%;44225;100;Agronegócio;btg pactual;
;;44749,43958;;;;;
BTCR11;BTG Pactual Crédito Imobiliário;96,98+0,29%;43251;100;Recebíveis Imobiliários;btg pactual;
;;44749,44028;;;;;
BTLG11;BTG Pactual Logística;97,70+0,54%;40402;100;Logisticos;null;
;;44749,44028;;;;;
BTRA11;BTG Pactual Terras Agrícolas;82,07+0,18%;44407;100;Agronegócio;btg pactual;
;;44749,4375;;;;;
BTSG11;BTSP I;99,21+100%;N/D;100;Incorporação;INTER DTVM;
;;44578,21229;;;;;
